filename_img;filename_ots;filename_ann;text_ots;text_ann
Balinese_1.png;balinese_1_ots.txt;balinese_1_ann.txt;Lasun suba truna wusti apane bi-- sa berdikari.;"Lanun suba truna musti apang bi- sa ""“berdikari.”"""
i_bagus_caratan1.png;i_bagus_caratan1.ots.txt;i_bagus_caratan1.ann.txt;tan kapatut baan prabhu Siwa Budha;tan kapatut baan prabhu Siwa Budha
leak_pemoroan1.png;leak_pemoroan1.ots.txt;leak_pemoroan1.ann.txt;"Man, ada roko jarum? pitakene dabdab. ""Ada beli, niki napi. saur i dagang banban.";"""Man, ada roko jarum?” pitakéné dabdab, ""Ada beli, niki napi,” saur i dagang banban."
Balinese_2.png;balinese_2_ots.txt;balinese_2_ann.txt;Pangawi senior Ketut Rida embas ring Banjar Kanginan,;Pangawi senior Ketut Rida embas ring Banjar Kanginan,
i_bagus_caratan2.png;i_bagus_caratan2.ots.txt;i_bagus_caratan2.ann.txt;! Sapahati matatu rahat jemanien barak mwah wilis;I Sapahati matatu rahat jemanten barak mwah wilis
leak_pemoroan2.png;leak_pemoroan2.ots.txt;leak_pemoroan2.ann.txt;padagingan atur fityang i ratu aturin tityang mamargegt adyapin tyang manungkul;padagingan atur tityang i ratu aturin tityang mamarggi adyapin tyang manungkul
Balinese_3.png;balinese_3_ots.txt;balinese_3_ann.txt;Bapa meli carik aji 300 yuta rupiah.;Bapa meli carik aji 300 yuta rupiah.
i_bagus_caratan3.png;i_bagus_caratan3.ots.txt;i_bagus_caratan3.ann.txt;Murid-muride mamaca satua I Bawang teken I Kesuna.;Murid-muridé mamaca satua I Bawang tekén I Kesuna.
leak_pemoroan3.png;leak_pemoroan3.ots.txt;leak_pemoroan3.ann.txt;Bapa meli siap satus ukud.;Bapa meli siap satus ukud.
Balinese_4.png;balinese_4_ots.txt;balinese_4_ann.txt;hija ya lakuna? Mai ja walu:;kija ya lakuna? Mai ja malu!
i_bagus_caratan4.png;i_bagus_caratan4.ots.txt;i_bagus_caratan4.ann.txt;"I Darta : Lakar kija 'bojore' cne?""";"I Darta : “Lakar kija 'bojoge' ene?"""
leak_pemoroan4.png;leak_pemoroan4.ots.txt;leak_pemoroan4.ann.txt;kairasang di satwan Sing galangegala;kairasang di satwan Singgalanggala
Balinese_5.png;balinese_5_ots.txt;balinese_5_ann.txt;Sapunapi Akrostik ring puisi Bali Anyar? Pangawi puisi anyar wenten taler sida ngaripta puisi akrostik, nglimbakang saking akronim kruna utawi tetuwek.;Sapunapi Akrostik ring puisi Bali Anyar? Pangawi puisi anyar wénten taler sida ngaripta puisi akrostik, nglimbakang saking akronim kruna utawi tetuwek.
i_bagus_caratan5.png;i_bagus_caratan5.ots.txt;i_bagus_caratan5.ann.txt;Raden Aryya nape // kang banban maatur ratu dayane parakang;Raden Aryya nape // kang banban maatur ratu dayane parakang
leak_pemoroan5.png;leak_pemoroan5.ots.txt;leak_pemoroan5.ann.txt;hastil IDK Raka Kusuma;Rasti IDK Raka Kusuma
Balinese_6.png;balinese_6_ots.txt;balinese_6_ann.txt;Tiang sampun mamaca buku Katemu ring Tampaksiring.;Tiang sampun mamaca buku Katemu ring Tampaksiring.
i_bagus_caratan6.png;i_bagus_caratan6.ots.txt;i_bagus_caratan6.ann.txt;T Pelog luas maunincines nea. ba bekel nasi. |;I Belog luas mancing ngaba bekel nasi.
leak_pemoroan6.png;leak_pemoroan6.ots.txt;leak_pemoroan6.ann.txt;ento jani kawawonin katungkul punyah pakeweh tanidusin;ento jani kawawonin katungkul punyah pakeweh tanidusin
Balinese_7.png;balinese_7_ots.txt;balinese_7_ann.txt;Kebyanparan;Kebyahparan
i_bagus_caratan7.png;i_bagus_caratan7.ots.txt;i_bagus_caratan7.ann.txt;Satus tali rupiah pianake nagih pipis.;Satus tali rupiah pianaké nagih pipis.
leak_pemoroan7.png;leak_pemoroan7.ots.txt;leak_pemoroan7.ann.txt;Apa ke ento? kenkeun ke cue?;Apa ke ento? Kenken ke ene?
Balinese_8.png;balinese_8_ots.txt;balinese_8_ann.txt;"Eekawin *Roamayana* melah pesan. Akch sabe seneng rine buku ""ya- yaprana, *";"Lekawin ""Ramayana"" melah pesan. Akeh sane seneng ring buku ""Jaya- prana."""
i_bagus_caratan8.png;i_bagus_caratan8.ots.txt;i_bagus_caratan8.ann.txt;Amunapi Panjang puisi Bali Anyar? Ngantos magkin durung wenten watesan amunapi panjang lan pendek;Amunapi Panjang puisi Bali Anyar? Ngantos magkin durung wénten watesan amunapi panjang lan péndék
leak_pemoroan8.png;leak_pemoroan8.ots.txt;leak_pemoroan8.ann.txt;Banggayang iwang patute nibenin antuk tresnane tuna pikukuh tan prasida nemuang kayun;Banggayang iwang patuté nibénin antuk tresnané tuna pikukuh tan prasida nemuang kayun
Balinese_9.png;balinese_9_ots.txt;balinese_9_ann.txt;palayare sang lungha satdarurung milu Aryya Wiraraja wwang Madhura lyu ngi ring;palayare sang lungha satdarurung milu Arya Wiraraja wwang Madhura lyu ngi ring
i_bagus_caratan9.png;i_bagus_caratan9.ots.txt;i_bagus_caratan9.ann.txt;Meme mabalih wayang kanti ping telu.;Mémé mabalih wayang kanti ping telu.
leak_pemoroan9.png;leak_pemoroan9.ots.txt;leak_pemoroan9.ann.txt;Awig-Awig Desa Pakraman;Awig-Awig Desa Pakraman
Balinese_10.png;balinese_10_ots.txt;balinese_10_ann.txt;Meme ngalih don 50 (seket) papah.;Mémé ngalih don 50 (séket) papah.
i_bagus_caratan10.png;i_bagus_caratan10.ots.txt;i_bagus_caratan10.ann.txt;Apa sih zaena di Bedugul? ya lo ugelah pipis;Apa sih gaena di Bedugul? ya ko ngelah pipis
leak_pemoroan10.png;leak_pemoroan10.ots.txt;leak_pemoroan10.ann.txt;Dusase ento, ada blabar scde di Tejakula (Bulelenus).;Dugase ento, ada blabar gede di Tejakula (Buleleng).
Balinese_11.png;balinese_11_ots.txt;balinese_11_ann.txt;Suara Saking Bali;Suara Saking Bali
i_bagus_caratan11.png;i_bagus_caratan11.ots.txt;i_bagus_caratan11.ann.txt;NGAKAN MADE KASUB SIDAN:;NGAKAN MADE KASUB SIDAN:
leak_pemoroan11.png;leak_pemoroan11.ots.txt;leak_pemoroan11.ann.txt;sapramenake tri wangsa ne sami;sapramenake tri wangsa ne sami
Balinese_12.png;balinese_12_ots.txt;balinese_12_ann.txt;Meme mabalih wayang kanti ping telu;Mémé mabalih wayang kanti ping telu
i_bagus_caratan12.png;i_bagus_caratan12.ots.txt;i_bagus_caratan12.ann.txt;Aksara pangawit ring kruna arit ine- pih punika Q.;Aksara pangawit ring kruna arit ing- gih punika a.
leak_pemoroan12.png;leak_pemoroan12.ots.txt;leak_pemoroan12.ann.txt;miwah I Sanjya ngragani suba matulak tkede di nagari;miwah 1 Sanjya ngragani suba matulak thede di nagari
Balinese_13.png;balinese_13_ots.txt;balinese_13_ann.txt;Peteng Dedet Suwung Puyung;Peteng Dedet Suwung Puyung
i_bagus_caratan13.png;i_bagus_caratan13.ots.txt;i_bagus_caratan13.ann.txt;Koperasi patut ngangge badan hukum.;Koperasi patut nganggé badan hukum.
leak_pemoroan13.png;leak_pemoroan13.ots.txt;leak_pemoroan13.ann.txt;Ia ngelah celeng 25 (selae) ukud.;Ia ngelah céléng 25 (selaé) ukud,
Balinese_14.png;balinese_14_ots.txt;balinese_14_ann.txt;matuodun saombuk uyak ciclusanza;matundun sambuk uyak cici nganga
i_bagus_caratan14.png;i_bagus_caratan14.ots.txt;i_bagus_caratan14.ann.txt;san patut khaanesren sasuluh unat Hiudu.;san patut kaanggen sasuluh umat Hindu.
leak_pemoroan14.png;leak_pemoroan14.ots.txt;leak_pemoroan14.ann.txt;Wseopous welahans, da Ymabais be- bek. #;"Ngomong melahang, da ""mabais be- bek."""
Balinese_15.png;balinese_15_ots.txt;balinese_15_ann.txt;Jurnal Sastra Bali Modeeren;Jurnal Sastra Bali Modéren
i_bagus_caratan15.png;i_bagus_caratan15.ots.txt;i_bagus_caratan15.ann.txt;ddasdoon r;Dadong Raja
leak_pemoroan15.png;leak_pemoroan15.ots.txt;leak_pemoroan15.ann.txt;LE ee a i? , nn rena vy % ee av oF h y J 7 a. Ve {;I Raré Sigaran
Balinese_16.png;balinese_16_ots.txt;balinese_16_ann.txt;pamriksane mangde ka siddhan mamarggi pdasang sampunang nyaru;pamriksane mangde ka siddhan mamarggi pdasang sampunang nyaru
i_bagus_caratan16.png;i_bagus_caratan16.ots.txt;i_bagus_caratan16.ann.txt;Bapa suba dasa dina di Jakarta.;Bapa suba dasa dina di Jakarta.
leak_pemoroan16.png;leak_pemoroan16.ots.txt;leak_pemoroan16.ann.txt;Kenken, ke, kabare jani?;Kénkén, ké, kabaré jani?
Balinese_17.png;balinese_17_ots.txt;balinese_17_ann.txt;Lontar legarakertagana kakawi olih Prapanea.;Loutar Negarakertagama kakawi olih Prapanca.
i_bagus_caratan17.png;i_bagus_caratan17.ots.txt;i_bagus_caratan17.ann.txt;Bapa suba dasa dina di Jakarta.;Bapa suba dasa dina di Jakarta.
leak_pemoroan17.png;leak_pemoroan17.ots.txt;leak_pemoroan17.ann.txt;Rahayu, puja pangastiti aturang titiang majeng ring Ida Sang Hyang Widhi Wasa. santukan sangkaning asung kertha wara nugrahan Ida buku puniki prasida kamijilang tur mangkin sampun prasida kawacen olih ida dane makasami.;Rahayu, puja pangastiti aturang titiang majeng ring Ida Sang Hyang Widhi Wasa. santukan sangkaning asung kertha wara nugrahan Ida buku puniki prasida kamijilang tur mangkin sampun prasida kawacen olih ida dane makasami.
Balinese_18.png;balinese_18_ots.txt;balinese_18_ann.txt;"Puniki wantah utsaha saking Balai Bahasa Provinsi Bali nagingin kawentenan buku-buku sane kaanggen bahan bacaan literasi ring para janane, utamanyane ring jagat pendidikan. Ngwentenang buku anggen bahan bacaan wantah utsaha anggen nglimbakang iterasi. Ngwentenang bahan bacaan literasi sakadi satua mawiguna pisan anggen nincapang arsa ngwacen ring alit-alite miwah anggen numbuhang budi pekerti. Pinaka pahan utama anggen numbuhang karakter becik miwah pikayunan ngwaceen ring alit-alite patut kaupapira saking anom, punika kakawitin saking kulawarga, sekolah, kantos ring para janane. Pakarsan ngwacen sane akeh ring para janane, kasokong antuk kawentenan bahan bacaan sane becik miwah dangan kapolihang, pacang nincapang budaya ngwacen miwah nulis, inggin punika ring sekolah rauh ring para janane. Saking kawagedan antuk ngwacen puniki, iferasi dasar minakadi numerasi, sains, finansial, digital, miwah budaya prasida kaupapira tur kalimbakang. Metunyane buku puniki madue tetujon mangda dados piranti anggen ngukuhang miwah nyokong GLN Gerakan Literasi Nasional.
";"Puniki wantah utsaha saking Balai Bahasa Provinsi Bali nagingin kawentenan buku-buku sane kaanggen bahan bacaan literasi ring para janane, utamanyane ring jagat pendidikan. Ngwentenang buku anggen bahan bacaan wantah utsaha anggen nglimbakang literasi. Ngwentenang bahan bacaan literasi sakadi satua mawiguna pisan anggen nincapang arsa ngwacen ring alit-alite miwah anggen numbuhang budi pekerti. Pinaka pahan utama anggen numbuhang karakter becik miwah pikayunan ngwacen ring alit-alite patut kaupapira saking anom, punika kakawitin saking kulawarga, sekolah, kantos ring para janane. Pakarsan ngwacen sane akeh ring para janane, kasokong antuk kawentenan bahan bacaan sane becik miwah dangan kapolihang, pacang nincapang budaya ngwacen miwah nulis, inggih punika ring sekolah rauh ring para janane. Saking kawagedan antuk ngwacen puniki, literasi dasar minakadi numerasi, sains, finansial, digital, miwah budaya prasida kaupapira tur kalimbakang. Metunyane buku puniki madue tetujon mangda dados piranti anggen ngukuhang miwah nyokong GLN (Gerakan Literasi Nasional).
"
i_bagus_caratan18.png;i_bagus_caratan18.ots.txt;i_bagus_caratan18.ann.txt;"Salantumyanee, carita-carita sane kapupulang ring buku puniki prasida mawiguna pinaka silih tunggil sarana utawi media pendidikan karakter. Karaosang asapunika sawireh kawentenan carita punika akeh madue nilai-nilai adiluhung sane prasida ngemban fungsi praktis, inggih punika ngwangun karakter sang sane ngwaceen. Karakter sane kawangun wantah karakter religiositas, nasionalisme, kemadirian, gotong royong, miwah integritas. Tiosan ring punika, carita ring buku puniki kaaptiang prasida ngwangun imajinasi miwah kompetensi berpikir kritis, prasida numbuhang kreativitas miwah kaweruhan ring komunikasi kenten taler kolaborasi pinaka prasyarat ngamargiang kauripan ring abad 21.
";"Salantumyanee, carita-carita sane kapupulang ring buku puniki prasida mawiguna pinaka silih tunggil sarana utawi media pendidikan karakter. Karaosang asapunika sawireh kawentenan carita punika akeh madue nilai-nilai adiluhung sane prasida ngemban fungsi praktis, inggih punika ngwangun karakter sang sane ngwacen. Karakter sane kawangun wantah karakter religiositas, nasionalisme, kemadirian, gotong royong, miwah integritas. Tiosan ring punika, carita ring buku puniki kaaptiang prasida ngwangun imajinasi miwah kompetensi berpikir kritis, prasida numbuhang kreativitas miwah kaweruhan ring komunikasi kenten taler kolaborasi pinaka prasyarat ngamargiang kauripan ring abad 21.
"
leak_pemoroan18.png;leak_pemoroan18.ots.txt;leak_pemoroan18.ann.txt;"Buku puniki kamedalang pinaka jayanti saking acara Sayembara Penyusunan Bahan Bacaan Siswa SD Kelas Awal 1, 2, dan 3 nganggen dwibahasa utawi kalih basa, inggih punika naskah mabasa Indonesia miwah naskah mabasa Bali sane kasurat ring kalin buku. Indike punika nenten lempas saking utsaha pangawi Wayan Yogik Aditya Urdhahana miwah panyeleh wewacen utawi penyunting Ni Putu Ekatini Negari. Santukan punika titiang ngaturang paramaning suksma majeng ring pangawi kenten taler panyeleh wewacen miwah makasami sane sampun prasida ngwantu nyusun buku puniki. Mogi buku puniki prasida mawiguna pinaka jalaran numbuhang budaya iterasi miwah ngaturang aji kaweruhan ring para jananee nyujur insan Indonesia sane wikan, wicaksana, miwah madue budi pekerti luh ur.
";"Buku puniki kamedalang pinaka jayanti saking acara Sayembara Penyusunan Bahan Bacaan Siswa SD Kelas Awal (1, 2, dan 3) nganggen dwibahasa utawi kalih basa, inggih punika naskah mabasa Indonesia miwah naskah mabasa Bali sane kasurat ring kalih buku. Indike punika nenten lempas saking utsaha pangawi Wayan Yogik Aditya Urdhahana miwah panyeleh wewacen utawi penyunting Ni Putu Ekatini Negari. Santukan punika titiang ngaturang paramaning suksma majeng ring pangawi kenten taler panyeleh wewacen miwah makasami sane sampun prasida ngwantu nyusun buku puniki. Mogi buku puniki prasida mawiguna pinaka jalaran numbuhang budaya literasi miwah ngaturang aji kaweruhan ring para janane nyujur insan Indonesia sane wikan, wicaksana, miwah madue budi pekerti luhur.
"
Balinese_19.png;balinese_19_ots.txt;balinese_19_ann.txt;"Puja pangastuti aturang titiang majeng ring Ida Sang Hyang Widhi santukan sangkaning sih pasuweecan Ida, buku puniki prasida medal tur mangkin wenten ring tengahing kauripan alit-alit Indonesia sane kakasihin.
";"Puja pangastuti aturang titiang majeng ring Ida Sang Hyang Widhi santukan sangkaning sih pasuwecan Ida, buku puniki prasida medal tur mangkin wenten ring tengahing kauripan alit-alit Indonesia sane kakasihin.
"
i_bagus_caratan19.png;i_bagus_caratan19.ots.txt;i_bagus_caratan19.ann.txt;"Buku puniki nyaritayang sapunapi sang sane ngrereh genah kautaman punika patut mautsaha, nenten ja dangan ngrereh genah sane utama punika. Madaging carita mabela pati kantos ngamolihang genah sane utama utawi ngamolihang karahayuan.
";"Buku puniki nyaritayang sapunapi sang sane ngrereh genah kautaman punika patut mautsaha, nenten ja dangan ngrereh genah sane utama punika. Madaging carita mabela pati kantos ngamolihang genah sane utama utawi ngamolihang karahayuan.
"
leak_pemoroan19.png;leak_pemoroan19.ots.txt;leak_pemoroan19.ann.txt;"Ring buku puniki nyaritayang kawentenan anak alit saking Bali sane uripnyane setata lara, doh saking kawentenan arta brana napi malih kawentenan Bali sane kasengguh pulo sorga punika.
";"Ring buku puniki nyaritayang kawentenan anak alit saking Bali sane uripnyane setata lara, doh saking kawentenan arta brana napi malih kawentenan Bali sane kasengguh pulo sorga punika.
"
Balinese_20.png;balinese_20_ots.txt;balinese_20_ann.txt;"Ipun ngamolihang napi sane kaaptiang tur nyihnayang majeng ring jagate sami kawentenan kalaraan punika nenten patut kasalahang. Yening jagi ngrereh napi sane kaaptiang, punika patut mautsaha siling tunggilnyane ngruruh aji kaweruhan. Carita ring bukune puniki nyihnayang boya ja sane siteng sane utama, wantah sang sane mautsaha, seleg, teleb, miwah setata malajahang angga sane prasida jayanti ring kauripane.
";"Ipun ngamolihang napi sane kaaptiang tur nyihnayang majeng ring jagate sami kawentenan kalaraan punika nenten patut kasalahang. Yening jagi ngrereh napi sane kaaptiang, punika patut mautsaha siling tunggilnyane ngruruh aji kaweruhan. Carita ring bukune puniki nyihnayang boya ja sane siteng sane utama, wantah sang sane mautsaha, seleg, teleb, miwah setata malajahang angga sane prasida jayanti ring kauripane.
"
