filename_img;filename_ots;filename_ann;text_ots;text_ann
Sundanese_1.png;minangkabau_1_ann.txt;sundanese_1_ann.txt;"Di antara barudak nu teu daekeun pok muji ngan Isa sorangan, ngeyehkeun teu wani deuih. Ngeletek bae dina hatena hayang nembongkeun kagagahanana leuwih batan Salim. Jeung panas kapiheulaan mashur. ;";Text
Sundanese_2.png;sundanese_1_ots.txt;sundanese_2_ann.txt;Sanggeus aso Syekh Khamis ngamimitian nyarita nu perlu pikeun perjalanan, kumaha pihadeeunana. Ku pirempug sarerea Syekh Khamis diangkat jadi lulugu para kapala heula, supaya puguh anu dituturkeun, sabab ayeuna miah kabeh kapilah geus ngumpul, henteu pakarencilan cara tadi, ti barang mangkat nepi ka dinya.;Di antara barudak nu teu daekeun pok muji ngan Isa sorangan, ngeyehkeun teu wani deuih. Ngeletek bae dina hatena hayang nembongkeun kagagahanana leuwih batan Salim. Jeung panas kapiheulaan mashur.
Sundanese_3.png;minangkabau_2_ann.txt;sundanese_3_ann.txt;Bataan ceeiaalteleea Saati: St meinen, ~ aa Terekel Salim naek kena kai, rak ngadon sare. Teu wanieun sare di handap, sieun disampeurkeun sato galak, didodoho eukeur sare.;Sanggeus aso Syekh Khamis ngamimitian nyarita nu perlu pikeun perjalanan, kumaha pihadeeunana. Ku pirempug sarerea Syekh Khamis diangkat jadi lulugu para kapala heula, supaya puguh anu dituturkeun, sabab ayeuna miah kabeh kapilah geus ngumpul, henteu pakarencilan cara tadi, ti barang mangkat nepi ka dinya.
Sundanese_4.png;sundanese_2_ots.txt;sundanese_4_ann.txt;"ovetevve ose Katalambula teu bisa mepes amarahna Paroja, pok ngalahir ka Kalulu, ""Tah, art geus kieu, kumaha, ujang? Mana cek Ama oge, ulah sok pipilueun ngomong jeung kolot, nya eta bisi goreng temahna; Paroja pisahna jeung urang ngandung hate. Ama";Terekel Salim nack kena kai, rak neadon sare. Teu wanieun sare di handap, sieun disampeurkeun sato galak, didodoho eukeur sare.
Sundanese_5.png;minangkabau_3_ann.txt;sundanese_5_ann.txt;Gogoda ke. nu. Ngarora;"Katalambula teu bisa mepes amachnn Paroja, pok ngalahir ka Kalulu, ”Tah, ari geus kieu, kumaha, ujang? Mana cek Ama oge, ulah sok pipilueun ngomong jeung kolot, nya eta bisi goreng temahna; Paroja pisahna jeung urang ngandung hate. Ama"
Sundanese_6.png;sundanese_3_ots.txt;sundanese_6_ann.txt;Kumaha Carana Masarakat Tatar Sunda Ngigelan Kaayaan Pulitik Jaman kiwari ?;Gogoda ka nu Ngarora
Sundanese_7.png;minangkabau_4_ann.txt;sundanese_7_ann.txt;18. Wangi ti batan kastori, ngelehkeun dupa Makasar, wa- ngi nanahaon bae, lain minyak, lain kembang, Jarah-Banun kakara, ngangseu seungit cara kitu, Rengganis enggeus di latar.;Kumaha Carana Masarakat Tatar Sunda Ngigelan Kaayaan Pulitik Jaman kiwari?
Sundanese_8.png;sundanese_4_ots.txt;sundanese_8_ann.txt;15. Jeung sekar agung liwatan, reujeung sekar soring alis, jeung aya sekar kapitan, reujeung sekar pondoh cengkir, sekar panambang peksi, reujeung sekar wadya jamus, reujeung sekar angkatan, reujeung sekar jalma mantri, reujeung sekar parawan mati abela.;18.Wangi ti batan kastori, ngelehkeun dupa Makasar, wangi nanahaon bae, lain minyak, lain kembang, Jarah-Banun kakara, ngangseu seungit cara kitu, Rengganis enggeus di latar.
Sundanese_9.png;minangkabau_5_ann.txt;sundanese_9_ann.txt;Pok deui Syekh Khamis: ,,Reugreug arti kieu mah. Jago-jago urang teu kurang, balad nu geus puguh aya itung wae opat ratus jol di kuring 150, ti Syekh Hamdan ti Syeh Amran, ti Isa ibnu Salim, Muhammad bin Rasyid, anak Sulaiman deuih. Wah moal kurang ti 700. Beuki rempeg, beuki teteg. Luda Damha bade ngiring ngamodal cenah, ngan 10 pulang 15 dina sataun ka- hayangna.;15.Jeung sekar agung liwatan, reujeung sekar soring alis, jeung aya sekar kapitan, reujeung sekar pondoh cengkir, sekar panambang peksi, reujeung sekar wadya jamus, reujeung sekar angkatan, reujeung sekar jalma mantri, reujeung sekar parawan mati abela.
Sundanese_10.png;sundanese_5_ots.txt;sundanese_10_ann.txt;nk henna Eeareniaes, ~ aia Euleuh atoheunana Salim jeung Abdullah mani anjrag- ajragan, barang dibere lawon keur papakean teh, mangkaning tilu rupa: keur dastar, keur harudum jeung keur samping nu beunang dicawetkeun. Kajeun teuing cenah barangpake cara abid di Zanzibar oge, asal ulah ulutud bae, teu kaduga, era.;Pok deui Syekh Khamis: ,,Reugreug arti kieu mah. Jago-jago urang teu kurang, balad nu geus puguh aya — itung wae opat ratus — jol di kuring 150, ti Syekh Hamdan ti Syeh Amran, ti Isa ibnu Salim, Muhammad bin Rasyid, anak Sulaiman deuih. Wah moal kurang ti 700. Beuki rempeg, beuki teteg. Luda Damha bade ngiring ngamodal cenah, ngan 10 pulang 15 dina sataun kahayangna.
